epoch,train_loss,val_loss,val_auc,lr_enc,lr_probe,elapsed_s
1,0.682845,0.642215,0.681782,0.00000167,0.00003333,1364.8
2,0.649102,0.625058,0.716677,0.00000333,0.00006667,1365.7
3,0.641806,0.612037,0.770203,0.00000500,0.00010000,1368.2
4,0.570615,0.625766,0.791003,0.00000497,0.00009949,1371.3
5,0.578435,0.553571,0.811197,0.00000490,0.00009797,1373.4
6,0.548078,0.527515,0.812473,0.00000477,0.00009548,1375.6
7,0.563500,0.521544,0.814972,0.00000460,0.00009206,1375.2
8,0.537293,0.515354,0.818870,0.00000439,0.00008779,1375.5
9,0.511415,0.585786,0.818778,0.00000414,0.00008274,1376.6
10,0.506073,0.509148,0.824127,0.00000385,0.00007703,1376.1
11,0.504410,0.540434,0.828623,0.00000354,0.00007077,1376.6
12,0.512636,0.511556,0.824977,0.00000320,0.00006409,1376.9
13,0.505073,0.500517,0.827753,0.00000286,0.00005712,1377.4
14,0.466971,0.496962,0.832187,0.00000250,0.00005000,1377.3
15,0.478020,0.520409,0.828689,0.00000214,0.00004288,1376.8
16,0.473859,0.507799,0.832419,0.00000180,0.00003591,1376.8
17,0.456016,0.505451,0.825752,0.00000146,0.00002923,1376.9
18,0.445777,0.508819,0.827993,0.00000115,0.00002297,1377.5
19,0.436220,0.526509,0.828409,0.00000086,0.00001726,1376.6
20,0.435394,0.516812,0.827050,0.00000061,0.00001221,1376.0
21,0.415651,0.553277,0.824883,0.00000040,0.00000794,1375.6
