epoch,train_loss,train_auc,val_loss,val_auc,lr,elapsed_s
1,0.698233,0.511174,0.704780,0.620468,0.00003333,296.7
2,0.694604,0.517831,0.698502,0.622551,0.00006667,295.0
3,0.693670,0.534570,0.697268,0.621943,0.00010000,286.1
4,0.694031,0.513958,0.689623,0.622857,0.00009989,284.9
5,0.688715,0.555013,0.693372,0.623544,0.00009955,285.5
6,0.679426,0.593862,0.679752,0.628440,0.00009900,290.6
7,0.673926,0.609889,0.679879,0.637306,0.00009822,285.8
8,0.664044,0.640257,0.665522,0.647277,0.00009723,281.7
9,0.665823,0.636079,0.693872,0.648518,0.00009603,293.2
10,0.663868,0.635340,0.656597,0.648684,0.00009463,291.9
11,0.653527,0.659100,0.657642,0.649562,0.00009302,288.2
12,0.650988,0.666186,0.657044,0.651143,0.00009122,284.7
13,0.656852,0.653448,0.676426,0.651695,0.00008924,289.8
14,0.652644,0.661631,0.661320,0.653238,0.00008708,290.1
15,0.653722,0.658254,0.655739,0.654025,0.00008476,293.3
16,0.655860,0.655936,0.663677,0.654351,0.00008228,300.8
17,0.652630,0.660672,0.667916,0.655425,0.00007966,295.7
18,0.649173,0.666911,0.655309,0.656490,0.00007690,298.3
19,0.651229,0.663709,0.680362,0.656480,0.00007403,295.7
20,0.650056,0.663167,0.684523,0.657016,0.00007105,292.4
21,0.648594,0.668008,0.655616,0.657894,0.00006797,298.4
22,0.643479,0.676939,0.663280,0.658663,0.00006481,288.2
23,0.648610,0.668258,0.660813,0.659041,0.00006159,283.7
24,0.650264,0.664304,0.654817,0.658861,0.00005832,289.3
25,0.644760,0.675102,0.652549,0.658477,0.00005500,287.3
26,0.643123,0.677694,0.655607,0.660055,0.00005167,301.0
27,0.643764,0.677233,0.651821,0.660218,0.00004833,285.3
28,0.643819,0.675765,0.650525,0.661054,0.00004500,291.9
29,0.644673,0.674784,0.651343,0.661496,0.00004168,285.7
30,0.643031,0.677844,0.651727,0.661316,0.00003841,294.6
31,0.642736,0.678356,0.658033,0.661658,0.00003519,300.0
32,0.640532,0.680467,0.651324,0.662319,0.00003203,291.5
33,0.642145,0.678362,0.650345,0.661352,0.00002895,293.0
34,0.639903,0.682761,0.652253,0.662136,0.00002597,291.9
35,0.641540,0.680330,0.651442,0.661892,0.00002310,291.7
36,0.640342,0.682083,0.651831,0.662160,0.00002034,297.6
37,0.638877,0.684218,0.650548,0.662635,0.00001772,298.4
38,0.638987,0.684071,0.649944,0.662885,0.00001524,296.7
39,0.637469,0.685906,0.651402,0.662933,0.00001292,281.8
40,0.637825,0.685444,0.649846,0.663181,0.00001076,236.8
41,0.637779,0.685646,0.649875,0.663413,0.00000878,168.4
42,0.636954,0.685504,0.650542,0.663327,0.00000698,168.1
43,0.638017,0.684376,0.651016,0.663503,0.00000537,168.9
44,0.637754,0.685590,0.650308,0.663653,0.00000397,166.7
45,0.637398,0.685454,0.649945,0.663597,0.00000277,167.1
46,0.635895,0.688159,0.649904,0.663663,0.00000178,169.6
47,0.635873,0.688319,0.649796,0.663713,0.00000100,167.3
48,0.637527,0.685914,0.649769,0.663687,0.00000045,168.2
49,0.636337,0.687562,0.649759,0.663699,0.00000011,167.3
50,0.636233,0.687375,0.649754,0.663709,0.00000000,167.4
