epoch,train_loss,train_auc,val_loss,val_auc,lr,elapsed_s
1,0.684548,0.576266,0.674901,0.664482,0.00003333,306.3
2,0.665926,0.636601,0.644679,0.675807,0.00006667,302.1
3,0.654882,0.659393,0.664680,0.678779,0.00010000,300.2
4,0.651842,0.661943,0.644852,0.681898,0.00009989,301.4
5,0.647036,0.671483,0.661264,0.684263,0.00009955,304.9
6,0.638715,0.684181,0.635475,0.689876,0.00009900,297.7
7,0.638624,0.686333,0.633971,0.695257,0.00009822,299.1
8,0.634971,0.691861,0.632952,0.704493,0.00009723,300.5
9,0.633336,0.693549,0.633399,0.712933,0.00009603,296.2
10,0.630556,0.696354,0.615443,0.722720,0.00009463,295.9
11,0.615700,0.716035,0.618072,0.737175,0.00009302,301.3
12,0.623927,0.707135,0.603649,0.744286,0.00009122,301.8
13,0.623939,0.709564,0.611113,0.744905,0.00008924,299.0
14,0.602089,0.733191,0.627731,0.755536,0.00008708,306.3
15,0.611886,0.723763,0.588702,0.755802,0.00008476,300.2
16,0.590883,0.748084,0.584412,0.763568,0.00008228,299.5
17,0.593620,0.742190,0.597874,0.767365,0.00007966,301.2
18,0.583819,0.754694,0.615775,0.775017,0.00007690,301.2
19,0.593927,0.743376,0.598526,0.774373,0.00007403,298.5
20,0.576639,0.762069,0.583285,0.780560,0.00007105,294.6
21,0.577302,0.761077,0.611662,0.778769,0.00006797,298.5
22,0.567466,0.770770,0.561159,0.781754,0.00006481,298.5
23,0.563907,0.773617,0.559031,0.788029,0.00006159,302.4
24,0.570917,0.767887,0.568801,0.784336,0.00005832,300.1
25,0.557304,0.780003,0.560276,0.784152,0.00005500,301.6
26,0.557014,0.783460,0.575704,0.788748,0.00005167,306.1
27,0.552449,0.786077,0.569177,0.793522,0.00004833,300.6
28,0.550145,0.788812,0.554718,0.794679,0.00004500,296.6
29,0.546026,0.792965,0.557985,0.792654,0.00004168,303.2
30,0.546335,0.792733,0.558173,0.792608,0.00003841,300.1
31,0.539709,0.797981,0.555861,0.795435,0.00003519,300.3
32,0.535886,0.800455,0.554190,0.795433,0.00003203,298.9
33,0.537288,0.799389,0.552049,0.795211,0.00002895,306.2
34,0.530072,0.805417,0.555672,0.795097,0.00002597,299.4
35,0.532368,0.803983,0.544349,0.798384,0.00002310,306.3
36,0.530476,0.805523,0.547404,0.796177,0.00002034,302.5
37,0.531829,0.803288,0.549959,0.798703,0.00001772,304.7
38,0.527190,0.807673,0.545867,0.797536,0.00001524,261.6
39,0.524324,0.810182,0.547135,0.797960,0.00001292,218.3
40,0.523445,0.810576,0.544170,0.798064,0.00001076,165.4
41,0.519016,0.814374,0.544993,0.798863,0.00000878,162.3
42,0.519144,0.814093,0.547455,0.798931,0.00000698,164.9
43,0.518257,0.815211,0.545978,0.798448,0.00000537,166.7
44,0.517313,0.815721,0.546748,0.798538,0.00000397,165.3
45,0.517998,0.815143,0.544858,0.799173,0.00000277,167.2
46,0.516549,0.815627,0.544777,0.798550,0.00000178,162.6
47,0.513493,0.818513,0.544574,0.798733,0.00000100,163.5
48,0.515003,0.817556,0.544543,0.798933,0.00000045,167.5
49,0.515090,0.816433,0.544907,0.798717,0.00000011,166.2
50,0.513123,0.818344,0.544848,0.798735,0.00000000,150.5
