ep,val_auc,test_auc,best_epoch,test_loss,sens,spec
25,0.845971450181888,0.8557992461904871,8,0.48111151440938316,0.6091405184174625,0.910039113428944
50,0.8452250889430485,0.8611215362203871,4,0.4776610913276672,0.8076398362892224,0.7314211212516297
75,0.8580472948907272,0.8691096403307655,4,0.4465980776151021,0.772169167803547,0.7907431551499348
100,0.8597100996882491,0.8705706131683657,4,0.46621677605311074,0.820600272851296,0.7157757496740548
