epoch,train_loss,val_loss,val_auc,lr_enc,lr_probe,elapsed_s
1,0.684871,0.642988,0.680003,0.00000167,0.00003333,1070.2
2,0.652051,0.633076,0.710636,0.00000333,0.00006667,1069.0
3,0.635672,0.726486,0.601041,0.00000500,0.00010000,1070.6
4,0.590624,0.612433,0.804457,0.00000497,0.00009949,1072.7
5,0.575971,0.529382,0.807837,0.00000490,0.00009797,1070.7
6,0.553550,0.551708,0.810834,0.00000477,0.00009548,1070.8
7,0.571070,0.520257,0.816615,0.00000460,0.00009206,1070.4
8,0.537121,0.519238,0.816133,0.00000439,0.00008779,1070.1
9,0.518564,0.574430,0.821472,0.00000414,0.00008274,1070.7
10,0.508662,0.504425,0.821604,0.00000385,0.00007703,1069.9
11,0.504168,0.534262,0.824717,0.00000354,0.00007077,1069.9
12,0.510681,0.505662,0.825287,0.00000320,0.00006409,1070.8
13,0.517934,0.501242,0.824585,0.00000286,0.00005712,1069.7
14,0.479963,0.516989,0.824937,0.00000250,0.00005000,1070.1
15,0.489467,0.509543,0.825982,0.00000214,0.00004288,1069.1
16,0.471346,0.516281,0.824897,0.00000180,0.00003591,1069.1
17,0.471569,0.505409,0.825029,0.00000146,0.00002923,1070.1
18,0.448718,0.516555,0.823268,0.00000115,0.00002297,1069.8
19,0.431862,0.528406,0.819493,0.00000086,0.00001726,1069.5
20,0.440377,0.512322,0.819845,0.00000061,0.00001221,1069.5
