epoch,train_loss,train_auc,val_loss,val_auc,lr,elapsed_s
1,0.697833,0.511423,0.704168,0.618407,0.00003333,110.8
2,0.691238,0.544056,0.692427,0.619786,0.00006667,111.6
3,0.690854,0.564638,0.701910,0.621801,0.00010000,111.6
4,0.675530,0.602869,0.678035,0.624408,0.00009989,111.2
5,0.677120,0.604985,0.676025,0.629997,0.00009955,109.9
6,0.661287,0.641747,0.663971,0.640530,0.00009900,110.2
7,0.658322,0.650214,0.666376,0.652142,0.00009822,111.3
8,0.656936,0.652280,0.656754,0.651413,0.00009723,110.3
9,0.658012,0.648188,0.655908,0.653496,0.00009603,110.5
10,0.655697,0.653889,0.656160,0.653310,0.00009463,111.7
11,0.649476,0.666877,0.654982,0.653162,0.00009302,113.1
12,0.649452,0.668091,0.658969,0.655721,0.00009122,112.9
13,0.656909,0.654491,0.678492,0.655057,0.00008924,254.6
14,0.649517,0.666565,0.663879,0.656188,0.00008708,293.9
15,0.649974,0.666303,0.652597,0.658211,0.00008476,294.2
16,0.653509,0.660493,0.666691,0.658535,0.00008228,286.9
17,0.651012,0.664986,0.667899,0.657952,0.00007966,287.5
18,0.646333,0.672420,0.655435,0.658763,0.00007690,290.0
19,0.647692,0.668951,0.674464,0.659913,0.00007403,293.5
20,0.645857,0.672038,0.675378,0.660836,0.00007105,292.0
21,0.644200,0.676129,0.654353,0.662371,0.00006797,291.0
22,0.639914,0.682492,0.664162,0.663335,0.00006481,299.0
23,0.645083,0.674682,0.658352,0.663799,0.00006159,297.5
24,0.644378,0.675771,0.653660,0.663859,0.00005832,297.9
25,0.640443,0.683287,0.649506,0.664800,0.00005500,290.7
26,0.636737,0.687827,0.648183,0.665530,0.00005167,299.4
27,0.637389,0.687148,0.651456,0.665538,0.00004833,307.8
28,0.639664,0.683491,0.649311,0.666124,0.00004500,299.9
29,0.638994,0.684575,0.647829,0.666541,0.00004168,305.7
30,0.635043,0.690273,0.647984,0.667747,0.00003841,296.7
31,0.632175,0.693257,0.646869,0.668858,0.00003519,303.2
32,0.631138,0.694709,0.648641,0.669702,0.00003203,294.0
33,0.634166,0.690381,0.646088,0.669668,0.00002895,300.6
34,0.630062,0.697228,0.654620,0.670931,0.00002597,299.7
35,0.632168,0.694594,0.646261,0.671567,0.00002310,294.6
36,0.629624,0.696285,0.650313,0.671987,0.00002034,292.7
37,0.629118,0.698088,0.646027,0.672594,0.00001772,293.3
38,0.626557,0.700808,0.642848,0.673952,0.00001524,302.3
39,0.625579,0.700919,0.642312,0.674699,0.00001292,294.3
40,0.624956,0.703341,0.641245,0.675381,0.00001076,295.9
41,0.623220,0.704892,0.648426,0.676367,0.00000878,296.4
42,0.624790,0.704077,0.643144,0.676994,0.00000698,302.2
43,0.622067,0.707476,0.641022,0.677430,0.00000537,302.5
44,0.622339,0.706989,0.641722,0.677746,0.00000397,297.8
45,0.622467,0.706529,0.641510,0.678012,0.00000277,299.1
46,0.620285,0.708272,0.641485,0.678104,0.00000178,300.8
47,0.619254,0.710242,0.641003,0.678222,0.00000100,298.7
48,0.620499,0.708621,0.640471,0.678446,0.00000045,306.6
49,0.618869,0.710050,0.640427,0.678528,0.00000011,298.5
50,0.619600,0.709532,0.640435,0.678490,0.00000000,295.5
