epoch,train_loss,val_loss,cos_sim,rep_diversity,l2_dist
10,0.1596,0.1586,0.8133,0.7995,15.2848
11,0.1574,0.1586,0.8211,0.7337,14.9855
12,0.1589,0.1590,0.8056,0.7338,15.5692
13,0.1589,0.1593,0.8180,0.7954,15.0897
14,0.1595,0.1595,0.8130,0.7410,15.2548
15,0.1591,0.1598,0.8274,0.7177,14.6213
16,0.1595,0.1599,0.8046,0.7165,15.7714
17,0.1603,0.1606,0.8251,0.7348,14.9292
18,0.1618,0.1616,0.7925,0.6983,16.1257
