epoch,train_loss,val_loss,cos_sim,rep_diversity,l2_dist
1,0.0485,0.1197,0.8731,0.9062,11.1520
2,0.1709,0.1988,0.7348,0.6607,17.0205
3,0.2077,0.2114,0.7171,0.7316,17.7733
4,0.2074,0.2023,0.7259,0.6975,17.4206
5,0.1960,0.1903,0.7571,0.6871,16.7059
6,0.1827,0.1784,0.7820,0.6852,16.1396
7,0.1750,0.1735,0.7782,0.7426,16.4258
8,0.1703,0.1675,0.7973,0.7398,15.7358
9,0.1657,0.1636,0.7809,0.7689,16.4804
