epoch,train_loss,val_loss,cos_sim,rep_diversity,l2_dist
1,0.1298,0.2152,0.6971,0.8082,16.5068
7,0.2159,0.2136,0.6972,0.6819,19.2657
8,0.2117,0.2113,0.7193,0.6556,18.4702
9,0.2099,0.2104,0.7195,0.8166,18.3631
10,0.2086,0.2084,0.7424,0.7300,17.8686
11,0.2073,0.2081,0.7197,0.6910,18.3920
15,0.2153,0.2187,0.6843,0.6798,19.4473
20,0.2646,0.2720,0.6575,0.5054,20.3186
25,0.3047,0.3059,0.5768,0.5032,22.1814
